t,Unnamed: 0,TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX,geometry,TIMEDELTA,speed,prev_pt,direction,turning_angle,state
2020-06-22 13:20:00,46701,2020-21,A69-9006-7849,6/22/2020 13:20,3545.8,6494.23,2.88,34.412558,-119.565026,7,2.9,,,2.8803,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,POINT (-119.565026 34.412558),0 days 00:01:00,1.0608218073472688,POINT (-119.564598 34.413009),218.05804201373434,-56.75691804316151,1
2020-06-22 13:21:00,48609,2020-21,A69-9006-7849,6/22/2020 13:21,3564.83,6437.97,3.487,34.412051,-119.564818,4,2.9,,,3.4867,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1,POINT (-119.564818 34.412051),0 days 00:01:00,0.9900584601632663,POINT (-119.565026 34.412558),161.3011239705728,36.32401857810168,1
2020-06-22 13:22:00,47668,2020-21,A69-9006-7849,6/22/2020 13:22,3547.79,6384.43,3.184,34.411568,-119.565004,7,2.7,,,3.1835,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,POINT (-119.565004 34.411568),0 days 00:01:00,0.9373631208020439,POINT (-119.564818 34.412051),197.6251425486745,-42.88991188910745,1
2020-06-22 13:23:00,48610,2020-21,A69-9006-7849,6/22/2020 13:23,3571.87,6333.57,3.487,34.41111,-119.564742,1,2.9,,,3.4867,,In_A Off_A OS1,In_A Off_A OS1,POINT (-119.564742 34.41111),0 days 00:01:00,0.937112082323919,POINT (-119.565004 34.411568),154.73523065956704,-58.16068391169834,1
2020-06-22 13:24:00,48611,2020-21,A69-9006-7849,6/22/2020 13:24,3659.86,6323.48,3.487,34.411019,-119.563785,8,2.7,,,3.4867,,In_A In_B In_C Off_A Off_B,In_A In_B In_C Off_A Off_B,POINT (-119.563785 34.411019),0 days 00:01:00,1.4760214571615597,POINT (-119.564742 34.41111),96.57454674786868,-48.29438426634159,1
2020-06-22 13:26:00,48140,2020-21,A69-9006-7849,6/22/2020 13:26,3742.6,6396.94,3.335,34.411681,-119.562885,6,2.7,,,3.3351,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,POINT (-119.562885 34.411681),0 days 00:02:00,0.921926089800951,POINT (-119.563785 34.411019),48.2801624815271,-45.78635278048209,1
2020-06-22 13:27:00,47185,2020-21,A69-9006-7849,6/22/2020 13:27,3747.35,6506.2,3.032,34.412666,-119.562833,6,3.2,,,3.0319,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,POINT (-119.562833 34.412666),0 days 00:01:00,1.8228406459401858,POINT (-119.562885 34.411681),2.493809701044995,9.216738753667991,1
2020-06-22 13:28:00,41940,2020-21,A69-9006-7849,6/22/2020 13:28,3761.15,6572.45,1.668,34.413263,-119.562683,5,3.6,,,1.6675,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,POINT (-119.562683 34.413263),0 days 00:01:00,1.127428273623387,POINT (-119.562833 34.412666),11.710548454712978,122.19002881834048,1
2020-06-22 13:30:00,44451,2020-21,A69-9006-7849,6/22/2020 13:30,3830.78,6505.69,2.274,34.412662,-119.561926,5,3.4,,,2.2739,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,POINT (-119.561926 34.412662),0 days 00:02:00,0.8031277876144298,POINT (-119.562683 34.413263),133.90057727305344,-11.228551024010423,1
2020-06-22 13:31:00,46215,2020-21,A69-9006-7849,6/22/2020 13:31,3893.98,6465.34,2.729,34.412298,-119.561238,4,3.5,,,2.7287,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B,POINT (-119.561238 34.412298),0 days 00:01:00,1.2506908315414678,POINT (-119.561926 34.412662),122.67202624904303,27.753339030617447,1
