,TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX
61108,Ref01,A69-1601-65105,5/21/2020 11:39,4716.91,4980.14,9.144,34.39891,-119.552287,6,4.7,2.4,,,,In_B In_C In_D In_E In_F Off_C Off_D Off_E Off_F OS2 PB,In_F Off_C Off_D Off_E Off_F OS2
61113,In_B,A69-1601-62002,5/21/2020 11:42,4188.02,6253.45,6.096,34.410388,-119.55804,1,4.9,0.6,,,,In_B Off_B OS1 OS2,Off_B OS1 OS2
61114,Off_E,A69-1601-62004,5/21/2020 11:42,4786.99,5097.13,6.096,34.399965,-119.551525,9,2.8,1.8,,,,In_D In_E Off_D Off_E Off_F PB,In_D In_E Off_D Off_F PB
61118,Off_A,A69-1601-62648,5/21/2020 11:45,3484.07,6128.18,6.4,34.409258,-119.565696,2,8.9,2.5,,,,In_A In_B In_C Off_A Off_B,In_A In_B In_C Off_B
61123,Ref01,A69-1601-65105,5/21/2020 11:48,4716.69,4980.11,9.144,34.39891,-119.552289,6,4.7,2.2,,,,In_C In_D In_E In_F Off_B Off_C Off_D Off_E Off_F OS2 PB,In_F Off_C Off_D Off_E Off_F OS2
61130,In_B,A69-1601-62002,5/21/2020 11:52,4187.97,6253.12,6.096,34.410385,-119.55804,7,3.5,0.3,,,,In_A In_B In_C Off_A Off_B Off_C OS1,In_C Off_A Off_B Off_C OS1
61131,In_D,A69-1601-62005,5/21/2020 11:53,5025.15,5467.51,6.705,34.403303,-119.548934,9,3.3,1.4,,,,In_D In_E Off_D Off_E Off_F OS2 PB,In_E Off_D Off_E Off_F OS2
61132,Off_E,A69-1601-62004,5/21/2020 11:53,4786.16,5096.76,6.096,34.399961,-119.551534,9,3.1,0.9,,,,In_D In_E Off_D Off_E Off_F OS2 PB,In_D In_E Off_D Off_F OS2
61136,Off_C,A69-1601-62644,5/21/2020 11:54,4202.08,5688.99,7.62,34.4053,-119.557886,9,3.0,0.1,,,,In_B In_C Off_B Off_C Off_D OS2,In_B In_C Off_B Off_D OS2
61138,Off_A,A69-1601-62648,5/21/2020 11:55,3485.97,6128.22,6.4,34.409258,-119.565676,5,6.4,4.2,,,,In_A In_B In_C Off_A Off_B Off_C,In_A In_B In_C Off_B Off_C
61141,Off_G,A69-1601-62001,5/21/2020 11:56,5387.02,4470.89,7.62,34.394319,-119.544999,1,15.9,11.4,,,,In_E In_F Off_F Off_G,In_E In_F Off_F
61144,Ref01,A69-1601-65105,5/21/2020 11:59,4715.7,4979.05,9.144,34.3989,-119.5523,6,4.7,0.8,,,,In_C In_D In_E In_F Off_C Off_D Off_E Off_F Off_G OS2 PB,In_F Off_C Off_D Off_E Off_F OS2
61149,In_B,A69-1601-62002,5/21/2020 12:02,4187.78,6252.71,6.096,34.410382,-119.558042,7,3.5,0.4,,,,In_A In_B In_C Off_A Off_B Off_C OS1,In_C Off_A Off_B Off_C OS1
61150,Off_E,A69-1601-62004,5/21/2020 12:02,4786.05,5096.99,6.096,34.399963,-119.551535,8,3.3,1.0,,,,In_D In_E Off_C Off_E Off_F OS2 PB,In_D In_E Off_C Off_F OS2
61151,In_D,A69-1601-62005,5/21/2020 12:03,5023.13,5465.91,6.705,34.403289,-119.548956,2,4.0,1.2,,,,In_C In_D In_E OS2 PB,In_C In_E OS2 PB
61154,Off_A,A69-1601-62648,5/21/2020 12:05,3483.61,6127.99,6.4,34.409256,-119.565701,2,6.7,2.1,,,,In_A In_B Off_A Off_B Off_C,In_A In_B Off_B Off_C
61159,Ref01,A69-1601-65105,5/21/2020 12:08,4720.11,4982.0,9.144,34.398927,-119.552252,11,5.4,6.1,,,,In_D In_E In_F Off_E Off_F Off_G PB,In_D In_E In_F Off_E Off_F Off_G
61164,In_B,A69-1601-62002,5/21/2020 12:12,4187.82,6253.69,6.096,34.41039,-119.558042,7,3.5,0.9,,,,In_B In_C Off_A Off_B Off_C OS1,In_C Off_A Off_B Off_C OS1
61165,Off_E,A69-1601-62004,5/21/2020 12:13,4785.43,5096.15,6.096,34.399956,-119.551542,8,3.0,0.1,,,,In_D In_E Off_C Off_E Off_F PB,In_D In_E Off_C Off_F PB
61166,In_D,A69-1601-62005,5/21/2020 12:13,5025.21,5465.65,6.705,34.403287,-119.548934,3,6.3,1.7,,,,In_D Off_C Off_D Off_E OS2 PB,Off_C Off_D Off_E OS2 PB
61168,Off_C,A69-1601-62644,5/21/2020 12:14,4201.42,5688.43,7.62,34.405295,-119.557894,7,3.0,1.0,,,,In_B In_C In_D Off_A Off_B Off_C Off_D OS2,In_C Off_A Off_B Off_D OS2
61170,Off_A,A69-1601-62648,5/21/2020 12:15,3483.24,6127.72,6.4,34.409254,-119.565705,2,6.7,1.6,,,,In_A In_B Off_A Off_B Off_C,In_A In_B Off_B Off_C
61176,Ref01,A69-1601-65105,5/21/2020 12:19,4718.35,4982.37,9.144,34.39893,-119.552271,8,3.8,4.9,,,,In_B In_C In_D In_E Off_B Off_C Off_D Off_E Off_F OS2 PB,In_D Off_C Off_D Off_E Off_F OS2
61180,Off_E,A69-1601-62004,5/21/2020 12:23,4787.11,5096.75,6.096,34.399961,-119.551523,9,3.1,1.8,,,,In_D In_E Off_D Off_E Off_F OS2 PB,In_D In_E Off_D Off_F OS2
61182,Off_C,A69-1601-62644,5/21/2020 12:23,4202.06,5688.99,7.62,34.4053,-119.557887,2,5.0,0.1,,,,In_D Off_B Off_C Off_D OS2,In_D Off_B Off_D OS2
61183,In_D,A69-1601-62005,5/21/2020 12:23,5024.65,5467.76,6.705,34.403306,-119.54894,6,3.4,1.2,,,,In_C In_D In_E Off_C Off_D Off_E OS2,In_E Off_C Off_D Off_E OS2
61191,Ref01,A69-1601-65105,5/21/2020 12:28,4718.02,4982.02,9.144,34.398927,-119.552275,8,3.8,4.5,,,,In_C In_D In_E Off_C Off_D Off_E Off_F OS2 PB,In_D Off_C Off_D Off_E Off_F OS2
61195,Off_C,A69-1601-62644,5/21/2020 12:32,4202.19,5689.41,7.62,34.405303,-119.557885,8,3.1,0.3,,,,In_B In_C In_D Off_B Off_C Off_D,In_B In_C In_D Off_B Off_D
61197,In_B,A69-1601-62002,5/21/2020 12:33,4186.72,6253.05,6.096,34.410385,-119.558054,4,4.9,1.5,,,,In_B In_C Off_A Off_B Off_C Off_D OS1,Off_A Off_B Off_C Off_D OS1
61199,In_D,A69-1601-62005,5/21/2020 12:33,5025.72,5466.56,6.705,34.403295,-119.548928,1,4.6,1.8,,,,In_D In_F Off_E OS2,In_F Off_E OS2
61200,Off_E,A69-1601-62004,5/21/2020 12:33,4786.01,5095.81,6.096,34.399953,-119.551535,4,4.7,0.7,,,,In_D In_E Off_E Off_F PB,In_D In_E Off_F PB
61206,Ref01,A69-1601-65105,5/21/2020 12:39,4715.06,4978.85,9.144,34.398898,-119.552307,6,4.7,0.1,,,,In_B In_C In_D In_E In_F Off_C Off_D Off_E Off_F OS2 PB,In_F Off_C Off_D Off_E Off_F OS2
61209,Off_C,A69-1601-62644,5/21/2020 12:41,4202.39,5689.28,7.62,34.405302,-119.557883,7,3.0,0.3,,,,In_B In_C Off_A Off_B Off_C Off_D OS2,In_C Off_A Off_B Off_D OS2
61213,In_B,A69-1601-62002,5/21/2020 12:43,4187.49,6256.55,6.096,34.410416,-119.558046,1,8.7,3.8,,,,In_B In_C Off_B Off_C,In_C Off_B Off_C
61215,Off_E,A69-1601-62004,5/21/2020 12:44,4785.92,5095.73,6.096,34.399952,-119.551536,8,3.4,0.7,,,,In_D In_E Off_E Off_F OS2 PB,In_D In_E Off_F OS2 PB
61216,In_D,A69-1601-62005,5/21/2020 12:44,5023.75,5465.67,6.705,34.403287,-119.54895,6,3.4,1.2,,,,In_D In_E Off_C Off_D Off_E OS2 PB,In_E Off_C Off_D Off_E OS2
61219,Off_A,A69-1601-62648,5/21/2020 12:47,3482.4,6127.25,6.4,34.40925,-119.565715,2,6.7,0.7,,,,In_A In_B Off_A Off_B Off_C,In_A In_B Off_B Off_C
61221,Ref01,A69-1601-65105,5/21/2020 12:48,4715.47,4978.99,9.144,34.3989,-119.552302,5,5.0,0.6,,,,In_C In_D In_E In_F Off_C Off_D Off_E Off_F Off_G OS2 PB,In_F Off_C Off_D Off_E Off_F OS2
61223,Off_C,A69-1601-62644,5/21/2020 12:50,4202.29,5689.44,7.62,34.405304,-119.557884,8,3.1,0.4,,,,In_B In_C In_D Off_B Off_C Off_D,In_B In_C In_D Off_B Off_D
61228,Off_E,A69-1601-62004,5/21/2020 12:53,4787.15,5095.33,6.096,34.399948,-119.551523,1,7.4,1.9,,,,In_D Off_E Off_F PB,In_D Off_F PB
61231,In_B,A69-1601-62002,5/21/2020 12:54,4189.6,6256.95,6.096,34.41042,-119.558023,1,6.4,4.3,,,,In_B In_C Off_A Off_C,In_C Off_A Off_C
61234,In_D,A69-1601-62005,5/21/2020 12:55,5023.65,5465.97,6.705,34.40329,-119.548951,6,3.4,0.9,,,,In_D In_E Off_C Off_D Off_E OS2,In_E Off_C Off_D Off_E OS2
61238,Off_G,A69-1601-62001,5/21/2020 12:57,5386.45,4484.75,7.62,34.394444,-119.545005,2,10.0,2.7,,,,In_E In_F Off_F Off_G PB,In_E In_F Off_F PB
