,TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX
85,2020-20,A69-9006-7853,5/21/2020 22:27,4418.13,5997.96,-0.607,34.408085,-119.555537,1,3.1,,,-0.6065,,In_B In_C Off_C,In_B In_C Off_C
86,2020-20,A69-9006-7853,5/21/2020 22:29,4444.92,5919.76,-0.607,34.40738,-119.555245,1,3.4,,,-0.6065,,In_C Off_C OS2,In_C Off_C OS2
87,2020-20,A69-9006-7853,5/21/2020 22:30,4479.77,5886.3,-0.607,34.407079,-119.554866,4,2.9,,,-0.6065,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2
88,2020-20,A69-9006-7853,5/21/2020 22:34,4606.98,5789.37,-0.607,34.406205,-119.553483,7,2.7,,,-0.6065,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2
89,2020-20,A69-9006-7853,5/21/2020 22:35,4583.89,5807.96,-0.607,34.406372,-119.553734,4,2.9,,,-0.6065,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2
90,2020-20,A69-9006-7853,5/21/2020 22:36,4572.12,5844.17,-0.607,34.406699,-119.553862,1,3.2,,,-0.6065,,In_C Off_C OS2,In_C Off_C OS2
91,2020-21,A69-9006-7849,5/21/2020 22:37,3463.08,6352.63,-0.607,34.411281,-119.565925,1,4.7,,,-0.6065,,In_A Off_A Off_B,In_A Off_A Off_B
92,2020-20,A69-9006-7853,5/21/2020 22:38,4567.1,5827.69,-0.607,34.40655,-119.553916,2,2.9,,,-0.6065,,In_C In_D Off_C OS2,In_C In_D Off_C OS2
93,2020-20,A69-9006-7853,5/21/2020 22:39,4603.5,5797.29,-0.607,34.406276,-119.553521,1,3.6,,,-0.6065,,In_C Off_D OS2,In_C Off_D OS2
94,2020-19,A69-9006-7851,5/21/2020 22:39,4472.02,6089.29,-0.607,34.408909,-119.554951,4,3.9,,,-0.6065,,In_B In_C Off_B Off_C,In_B In_C Off_B Off_C
